RECSEQ	ACCESS_LIC_ID	ACCESS_PNT_ID	PROFILE_ID	STATUS
0000000236	17600071	17100617	10878169	ACTIVE
0000000237	17600072	17100618	10878169	ACTIVE
0000000238	17600073	17100619	10878169	INACTIVE
0000000239	17600074	17100617	12638606	ACTIVE
0000000240	17600075	17100618	12638606	ACTIVE
0000000241	17600076	17100619	12638606	ACTIVE
0000000242	17600077	17100617		ACTIVE
0000000243	17600078	17100618		ACTIVE
0000000244	17600079	17100619		ACTIVE
0000000245	17600080	17100617		ACTIVE
0000000246	17600081	17100618		ACTIVE
0000000247	17600082	17100619		ACTIVE
0000000248	17600083	17100619	10878169	ACTIVE
0000000249	17600084	17800038	4257616	ACTIVE
0000000250	17600085	17800039	6668807	ACTIVE
0000000251	17600086	17307003	12025148	ACTIVE
0000000252	17600087	17307003		INACTIVE
0000000253	17600088	17307003	12044895	ACTIVE
0000000254	17600089	16200393	6560680	ACTIVE
0000000255	17600090	17100617		ACTIVE
0000000256	17600091	17100618		ACTIVE
0000000257	17600092	17100619		ACTIVE
0000000258	17600093	17800040	7073628	INACTIVE
0000000259	18200066	18200028	12362688	ACTIVE
0000000260	18100039	18300038	12372593	ACTIVE
0000000261	17600094	18300040	12374716	INACTIVE
0000000262	17600095	18300040	12374716	ACTIVE
0000000263	17600096	18300008		ACTIVE
0000000264	17600097	17800041	6772599	ACTIVE
0000000265	18100040	14900023		INACTIVE
0000000266	18100041	14900023	12376013	ACTIVE
0000000267	17600098	17800043	3093061	ACTIVE
0000000268	18100042	11800056	9033417	ACTIVE
0000000269	18200067	12200106		ACTIVE
0000000270	18200068	12200107		ACTIVE
0000000271	18100043	11800056	8123076	INACTIVE
0000000272	18100044	11800056	9375158	ACTIVE
0000000273	18100045	11800056	12400216	ACTIVE
0000000274	18100046	17800042	3658332	ACTIVE
0000000275	18200069	18300042	12378347	ACTIVE
0000000276	17600099	17800045	1525943	ACTIVE
0000000277	17600100	17800045	1514613	ACTIVE
0000000278	17600101	17800045	8527592	ACTIVE
0000000279	17600102	17800046	1499166	INACTIVE
0000000280	17600103	17800046	8527592	ACTIVE
0000000281	17600104	17800046	1511898	ACTIVE
0000000282	17600105	17800046	1514613	ACTIVE
0000000283	17600106	17800046	6763380	ACTIVE
0000000284	17600107	17800047	8527592	ACTIVE
0000000285	17600108	17800047	1514613	ACTIVE
0000000286	17600109	17800046	1525943	ACTIVE
0000000287	17600110	17800045	6763380	ACTIVE
0000000288	17600111	17800045		ACTIVE
0000000289	17600112	17800048		ACTIVE
0000000290	18100047	18200034	12381692	ACTIVE
0000000291	18100048	18300029		INACTIVE
0000000292	17600113	17800051	9750608	INACTIVE
0000000293	17600114	17800051		INACTIVE
0000000294	17600115	17800051		INACTIVE
0000000295	17600116	17800051	9656562	INACTIVE
0000000296	17600117	17800051	7211549	INACTIVE
0000000297	18100049	11800056		INACTIVE
0000000298	18100050	11800056	12320294	INACTIVE
0000000299	18200070	17800051	12394977	INACTIVE
0000000300	17600118	17800052	9750608	INACTIVE
0000000301	17600119	17800052	12394977	INACTIVE
0000000302	17600120	17800052	7211549	INACTIVE
0000000303	17600121	17800052	9656562	ACTIVE
0000000304	17600122	17800052	12397470	INACTIVE
0000000305	17600123	17800052	12404274	INACTIVE
0000000306	17600124	17800053	9750608	INACTIVE
0000000307	17600125	17800053	12394977	INACTIVE
0000000308	17600126	17800053	7211549	INACTIVE
0000000309	17600127	17800053	9656562	ACTIVE
0000000310	17600128	17800053	12397470	INACTIVE
0000000311	17600129	17800053	12404274	ACTIVE
0000000312	18200071	16200407		INACTIVE
0000000313	18200072	16200408		INACTIVE
0000000314	18200073	16200409		INACTIVE
0000000315	18200074	16200410		INACTIVE
0000000316	18200075	18300046	12397096	ACTIVE
0000000317	17600130	18400002	12402025	ACTIVE
0000000318	18200076	17600017	25714265	ACTIVE
0000000319	17600131	9000170	12397269	INACTIVE
0000000320	17600132	9000170	12397269	ACTIVE
0000000321	18200077	18300048	12397470	ACTIVE
0000000322	18300001	18400011	12406760	ACTIVE
0000000323	17600133	17800054	7066474	ACTIVE
0000000324	18200078	18300050	10529563	INACTIVE
0000000325	17600134	17800052	12394977	INACTIVE
0000000326	17600135	17800053	12394977	INACTIVE
0000000327	18200079	18300050	10529563	ACTIVE
0000000328	17600136	13800015		INACTIVE
0000000329	17600137	13800015	8048557	ACTIVE
0000000330	17600138	17800056	2475997	ACTIVE
0000000331	18300002	17800055	6037679	ACTIVE
0000000332	18300003	17800055	7339432	ACTIVE
0000000333	18300004	17800055	12246423	INACTIVE
0000000334	17600139	17800052		INACTIVE
0000000335	17600140	17800053		INACTIVE
0000000336	18300005	18400018	12119761	ACTIVE
0000000337	18300006	18400019	12119761	ACTIVE
0000000338	18200080	18300054	12411425	ACTIVE
0000000339	18300007	18400020	12409875	ACTIVE
0000000340	18300008	18400023	7499629	ACTIVE
0000000341	18300009	18400023	4485706	ACTIVE
0000000342	18200081	18300055	12411999	ACTIVE
0000000343	17600141	17800052	12440952	ACTIVE
0000000344	17600142	17800053	12440952	ACTIVE
0000000345	17600143	16200468		INACTIVE
0000000346	17600144	16200468		INACTIVE
0000000347	17600145	16200468	3255724	INACTIVE
0000000348	17600146	17800057	2009904	ACTIVE
0000000349	18400001	16200475	12301950	ACTIVE
0000000350	18400002	18600001	12430837	ACTIVE
0000000351	18400003	18600002	12431368	ACTIVE
0000000352	18400004	12400208	3198209	ACTIVE
0000000353	18400005	12400208		INACTIVE
0000000354	18500001	17306996	12442696	ACTIVE
0000000355	18500002	17306996		ACTIVE
0000000356	18400006	18600003	12290162	ACTIVE
0000000357	18400007	12400208	128475262	ACTIVE
0000000358	18500003	9900013	12108439	INACTIVE
0000000359	18500004	18500005	12442036	ACTIVE
0000000360	18400008	18600004	11958529	ACTIVE
0000000361	17600147	17100533	6401288	ACTIVE
0000000362	18500005	12400109		ACTIVE
0000000363	18500006	18600006	2536342	ACTIVE
0000000364	18500007	18600006	12729247	ACTIVE
0000000365	18500008	18600006	12470874	ACTIVE
0000000366	18500009	12400107	12434405	ACTIVE
0000000367	18500010	12400107		ACTIVE
0000000368	18500011	12400108		ACTIVE
0000000369	18500012	12400108	12434405	ACTIVE
0000000370	17600148	12400201	8404669	INACTIVE
0000000371	17600149	12400202	8404669	INACTIVE
0000000372	17600150	12400203	8404669	INACTIVE
0000000373	17600151	12400204	8404669	INACTIVE
0000000374	18500013	18500006	12443022	ACTIVE
0000000375	17600152	17800058	2581931	ACTIVE
0000000376	17600153	17800058	11588426	ACTIVE
0000000377	17600154	17800058	12502477	ACTIVE
0000000378	17600155	17800058	3255724	INACTIVE
0000000379	18400009	17300026		INACTIVE
0000000380	18500014	15000054		ACTIVE
0000000381	17600156	17800059	3182930	ACTIVE
0000000382	18500015	15000055		ACTIVE
0000000383	17600157	17800060	5063718	INACTIVE
0000000384	17600158	17800060	5063718	ACTIVE
0000000385	17600159	17800064	3288350	ACTIVE
0000000386	17600160	16200399		INACTIVE
0000000387	17600161	16200392		INACTIVE
0000000388	17600162	14900091		INACTIVE
0000000389	17600163	16200393		INACTIVE
0000000390	17600164	16200394		INACTIVE
0000000391	17600165	16200399	11509264	INACTIVE
0000000392	17600166	16200393	11509264	INACTIVE
0000000393	17600167	16200392		INACTIVE
0000000394	17600168	14900091		INACTIVE
0000000395	17600169	16200392	11509264	INACTIVE
0000000396	17600170	16200394	11509264	INACTIVE
0000000397	17600171	16200394		INACTIVE
0000000398	17600172	17800065	8295086	ACTIVE
0000000399	17600173	17800066	3224554	ACTIVE
0000000400	18400010	9600182	12472115	INACTIVE
0000000401	18400011	9600182	13071164	INACTIVE
0000000402	17600174	17800067	5820674	INACTIVE
0000000403	17600175	17800067	6219126	ACTIVE
0000000404	17600176	17800067	6936011	INACTIVE
0000000405	17600177	18300030	12351318	ACTIVE
0000000406	17600178	18300031	12351318	ACTIVE
0000000407	17600179	17800068	1506555	ACTIVE
0000000408	17600180	17800069	1423705	INACTIVE
0000000409	18400012	18500002	12460315	ACTIVE
0000000410	18400013	18600009	12439852	ACTIVE
0000000411	18500016	18500007	27216482	ACTIVE
0000000412	18500017	18500009	12471185	ACTIVE
0000000413	18500018	18500010	12471189	ACTIVE
0000000414	17600181	17800070	12431899	ACTIVE
0000000415	17600182	17800070		ACTIVE
0000000416	17600183	17800070		ACTIVE
0000000417	18500019	18500011	12471250	ACTIVE
0000000418	18500020	18000009	12270737	ACTIVE
0000000419	18400014	18600010	12462140	ACTIVE
