,0,Zipcode,Zipcode Area,0,,,,,,,
200,90048,90048,0 sq mi,0 sq mi,,,,,,,32.794 sq mi
201,48867,48867,137.644 sq mi,137.644 sq mi,,,,,,,1.513 sq mi
202,91367,91367,7.441 sq mi,7.441 sq mi,,,,,,,19.132 sq mi
203,49098,49098,32.435 sq mi,32.435 sq mi,,,,,,,20.685 sq mi
204,49085,49085,2.6 sq mi,2.6 sq mi,,,,,,,22.35 sq mi
205,53821,53821,103.502 sq mi,103.502 sq mi,,,,,,,7.365 sq mi
206,48033,48033,8.964 sq mi,8.964 sq mi,,,,,,,1.218 sq mi
207,48047,48047,5.182 sq mi,5.182 sq mi,,,,,,,4.778 sq mi
208,79029,79029,300.861 sq mi,300.861 sq mi,,,,,,,73.044 sq mi
209,60614,60614,0.287 sq mi,0.287 sq mi,,,,,,,61.119 sq mi
210,43616,43616,40.039 sq mi,40.039 sq mi,,,,,,,30.642 sq mi
211,49341,49341,82.669 sq mi,82.669 sq mi,,,,,,,21.237 sq mi
212,48212,48212,5.349 sq mi,5.349 sq mi,,,,,,,3.349 sq mi
213,48331,48331,9.288 sq mi,9.288 sq mi,,,,,,,47.909 sq mi
214,48504,48504,0.048 sq mi,0.048 sq mi,,,,,,,3.323 sq mi
215,48509,48509,8.86 sq mi,8.86 sq mi,,,,,,,7.4 sq mi
216,85006,85006,3.903 sq mi,3.903 sq mi,,,,,,,0.436 sq mi
217,61801,61801,5.352 sq mi,5.352 sq mi,,,,,,,3.297 sq mi
218,48423,48423,65.592 sq mi,65.592 sq mi,,,,,,,0 sq mi
219,49841,49841,191.851 sq mi,191.851 sq mi,,,,,,,6.029 sq mi
220,48642,48642,114.3 sq mi,114.3 sq mi,,,,,,,0.003 sq mi
221,49866,49866,145.545 sq mi,145.545 sq mi,,,,,,,1.237 sq mi
222,48374,48374,9.082 sq mi,9.082 sq mi,,,,,,,12.855 sq mi
223,48178,48178,50.656 sq mi,50.656 sq mi,,,,,,,4.122 sq mi
224,48237,48237,5.151 sq mi,5.151 sq mi,,,,,,,0.025 sq mi
225,49079,49079,83.039 sq mi,83.039 sq mi,,,,,,,6.078 sq mi
226,49080,49080,77.948 sq mi,77.948 sq mi,,,,,,,0 sq mi
227,49450,49450,29.472 sq mi,29.472 sq mi,,,,,,,12.774 sq mi
228,48174,48174,41.189 sq mi,41.189 sq mi,,,,,,,22.037 sq mi
229,48730,48730,73.277 sq mi,73.277 sq mi,,,,,,,31.768 sq mi
230,49544,49544,0.172 sq mi,0.172 sq mi,,,,,,,39.404 sq mi
231,42503,42503,129.319 sq mi,129.319 sq mi,,,,,,,0 sq mi
232,48326,48326,17.29 sq mi,17.29 sq mi,,,,,,,200.189 sq mi
233,47331,47331,1.388 sq mi,1.388 sq mi,,,,,,,44.296 sq mi
234,48360,48360,0.795 sq mi,0.795 sq mi,,,,,,,111.554 sq mi
235,21201,21201,1.29 sq mi,1.29 sq mi,,,,,,,8.22 sq mi
236,44195,44195,0 sq mi,0 sq mi,,,,,,,5.319 sq mi
237,48315,48315,12.766 sq mi,12.766 sq mi,,,,,,,4.195 sq mi
238,54143,54143,6.151 sq mi,6.151 sq mi,,,,,,,0 sq mi
239,49007,49007,3.604 sq mi,3.604 sq mi,,,,,,,59.283 sq mi
240,48043,48043,4.099 sq mi,4.099 sq mi,,,,,,,38.464 sq mi
241,48060,48060,3.104 sq mi,3.104 sq mi,,,,,,,0 sq mi
242,48118,48118,4.172 sq mi,4.172 sq mi,,,,,,,0 sq mi
243,60302,60302,3.013 sq mi,3.013 sq mi,,,,,,,0 sq mi
244,29303,29303,0.109 sq mi,0.109 sq mi,,,,,,,0 sq mi
245,49307,49307,135.419 sq mi,135.419 sq mi,,,,,,,0.909 sq mi
246,49428,49428,0.688 sq mi,0.688 sq mi,,,,,,,0.314 sq mi
247,49505,49505,0.223 sq mi,0.223 sq mi,,,,,,,0.252 sq mi
248,48230,48230,3.228 sq mi,3.228 sq mi,,,,,,,6.941 sq mi
249,14203,14203,2.637 sq mi,2.637 sq mi,,,,,,,26.81 sq mi
250,14569,14569,76.288 sq mi,76.288 sq mi,,,,,,,1.523 sq mi
251,26537,26537,41.266 sq mi,41.266 sq mi,,,,,,,0.273 sq mi
252,80218,80218,1.6 sq mi,1.6 sq mi,,,,,,,46.543 sq mi
253,84065,84065,0.003 sq mi,0.003 sq mi,,,,,,,6.123 sq mi
254,53581,53581,0.108 sq mi,0.108 sq mi,,,,,,,166.678 sq mi
255,99301,99301,464.977 sq mi,464.977 sq mi,,,,,,,0.051 sq mi
256,48820,48820,65.682 sq mi,65.682 sq mi,,,,,,,47.118 sq mi
257,49858,49858,85.817 sq mi,85.817 sq mi,,,,,,,0.07 sq mi
258,37027,37027,0.05 sq mi,0.05 sq mi,,,,,,,39.976 sq mi
259,48170,48170,34.15 sq mi,34.15 sq mi,,,,,,,9.002 sq mi
260,33461,33461,7.245 sq mi,7.245 sq mi,,,,,,,18.483 sq mi
261,48507,48507,20.83 sq mi,20.83 sq mi,,,,,,,0.001 sq mi
262,48377,48377,9.644 sq mi,9.644 sq mi,,,,,,,4.143 sq mi
263,48067,48067,4.59 sq mi,4.59 sq mi,,,,,,,4.99 sq mi
264,48884,48884,60.851 sq mi,60.851 sq mi,,,,,,,9.682 sq mi
265,47710,47710,0.162 sq mi,0.162 sq mi,,,,,,,87.747 sq mi
266,48138,48138,1.525 sq mi,1.525 sq mi,,,,,,,22.494 sq mi
267,17602,17602,0.428 sq mi,0.428 sq mi,,,,,,,114.557 sq mi
268,22908,22908,0 sq mi,0 sq mi,,,,,,,0 sq mi
269,74464,74464,1.494 sq mi,1.494 sq mi,,,,,,,10.972 sq mi
270,49333,49333,3.872 sq mi,3.872 sq mi,,,,,,,10.976 sq mi
271,94577,94577,8.15 sq mi,8.15 sq mi,,,,,,,0 sq mi
