,Zipcode,Zipcode Area
674,30909,26.009 sq mi
675,31909,0.185 sq mi
676,30319,0.12 sq mi
677,68113,0.015 sq mi
678,31036,2.542 sq mi
679,29506,126.753 sq mi
680,37404,4.928 sq mi
681,35242,52.961 sq mi
682,35801,14.083 sq mi
683,30033,0.038 sq mi
684,36301,0.638 sq mi
685,36801,71.586 sq mi
686,62269,27.024 sq mi
687,56482,131.29 sq mi
688,67530,245.588 sq mi
689,30030,6.512 sq mi
690,87114,21.297 sq mi
691,30401,3.036 sq mi
692,97128,106.869 sq mi
693,61761,0.062 sq mi
694,31088,0.223 sq mi
695,53406,16.572 sq mi
696,30308,0 sq mi
697,38163,0 sq mi
698,77384,17.486 sq mi
699,63127,0.09 sq mi
700,30046,15.665 sq mi
701,10994,6.112 sq mi
702,60617,13.865 sq mi
703,20722,0.031 sq mi
704,30120,1.091 sq mi
705,60616,0.572 sq mi
706,39110,4.088 sq mi
707,12304,0.032 sq mi
708,60618,5.061 sq mi
709,30905,0.04 sq mi
710,30344,0.015 sq mi
711,30311,0.036 sq mi
712,30305,0.028 sq mi
713,37129,1.113 sq mi
714,20010,1.084 sq mi
715,31021,3.016 sq mi
716,30525,205.853 sq mi
717,30274,10.56 sq mi
718,35233,1.68 sq mi
719,30152,21.054 sq mi
720,85024,28.176 sq mi
721,49807,209.894 sq mi
722,31501,13.176 sq mi
723,29425,0 sq mi
724,78731,0.213 sq mi
725,60640,2.407 sq mi
726,80524,10.159 sq mi
727,85251,7.355 sq mi
728,30809,43.669 sq mi
729,30474,1.712 sq mi
730,23601,8.635 sq mi
731,24017,0.036 sq mi
732,30040,58.676 sq mi
733,67601,385.497 sq mi
734,30912,0 sq mi
735,33486,5.462 sq mi
736,38671,22.187 sq mi
737,20155,28.9 sq mi
738,60068,7.094 sq mi
739,60463,5.378 sq mi
740,60477,12.76 sq mi
741,71459,0.012 sq mi
742,53215,5.66 sq mi
743,92123,8.165 sq mi
744,31404,1.524 sq mi
745,30117,1 sq mi
746,30121,56.487 sq mi
747,31707,18.756 sq mi
748,32608,38.996 sq mi
749,31904,3.001 sq mi
750,30143,139.264 sq mi
751,93720,9.958 sq mi
752,90057,0.013 sq mi
753,95825,4.727 sq mi
754,14621,0.109 sq mi
755,18017,16.213 sq mi
756,53221,9.208 sq mi
757,61704,0.009 sq mi
758,53405,6.507 sq mi
759,30078,16.972 sq mi
760,62959,4.307 sq mi
761,60523,8.922 sq mi
762,61104,4.51 sq mi
763,61102,34.428 sq mi
764,45415,6.169 sq mi
765,61021,3.29 sq mi
766,60415,2.295 sq mi
767,32605,10.007 sq mi
768,33709,5.133 sq mi
769,33330,0.032 sq mi
770,33401,5.498 sq mi
771,33770,5.184 sq mi
772,43219,16.851 sq mi
773,34609,22.177 sq mi
774,33606,3.282 sq mi
775,43212,3.583 sq mi
776,43220,6.807 sq mi
777,23507,0.888 sq mi
778,90802,6.483 sq mi
779,84112,0.861 sq mi
780,38103,2.617 sq mi
781,53233,1.691 sq mi
782,48130,1.015 sq mi
783,10032,0 sq mi
784,87544,0.045 sq mi
785,27288,0.819 sq mi
786,30060,0.131 sq mi
787,30458,145.942 sq mi
788,32765,39.11 sq mi
789,85339,212.491 sq mi
790,23321,26.335 sq mi
791,30013,28.362 sq mi
792,38614,0.737 sq mi
793,31093,0.226 sq mi
794,33064,0.302 sq mi
795,83404,26.713 sq mi
796,39204,0.185 sq mi
797,30134,49.589 sq mi
798,30309,0.036 sq mi
799,30014,5.47 sq mi
800,32960,11.364 sq mi
801,65804,18.244 sq mi
802,27536,12.759 sq mi
803,10027,0 sq mi
804,33525,116.472 sq mi
805,37923,11.217 sq mi
806,31406,25.542 sq mi
807,23224,11.662 sq mi
808,28304,0.22 sq mi
809,44333,0.177 sq mi
810,43214,6.727 sq mi
811,19003,1.942 sq mi
812,13357,0.142 sq mi
813,95403,22.011 sq mi
814,75093,14.121 sq mi
815,35903,67.416 sq mi
816,42223,15.145 sq mi
817,10037,0 sq mi
818,20876,11.658 sq mi
819,53143,4.173 sq mi
820,54115,125.57 sq mi
821,80113,7.562 sq mi
822,32550,6.682 sq mi
823,47001,72.845 sq mi
824,40243,4.012 sq mi
825,47006,0.634 sq mi
826,36695,47.748 sq mi
827,36532,6.536 sq mi
828,70112,0.872 sq mi
829,22042,6.611 sq mi
830,77642,19.682 sq mi
831,54911,8.29 sq mi
832,20037,0.644 sq mi
833,92108,4.284 sq mi
834,57701,0.104 sq mi
835,38125,0 sq mi
836,28210,12.703 sq mi
837,61615,0.014 sq mi
838,78681,21.727 sq mi
839,37934,0.28 sq mi
840,87131,0 sq mi
841,70808,12.074 sq mi
842,23229,0.615 sq mi
843,30534,229.018 sq mi
844,30338,0.087 sq mi
845,30043,32.53 sq mi
846,30189,19.447 sq mi
847,34684,6.537 sq mi
848,31206,27.925 sq mi
849,30317,0.037 sq mi
850,30318,0.183 sq mi
851,30577,3.131 sq mi
852,46902,53.373 sq mi
853,60050,0.897 sq mi
854,44111,6.237 sq mi
855,76182,8.784 sq mi
856,91342,55.101 sq mi
857,99654,497.865 sq mi
858,51301,156.259 sq mi
859,20060,0 sq mi
860,62656,144.251 sq mi
861,45662,53.847 sq mi
862,36732,127.977 sq mi
863,45601,341.981 sq mi
864,75225,4.717 sq mi
865,45504,23.241 sq mi
866,28054,0.071 sq mi
867,50595,154.117 sq mi
868,10451,1.015 sq mi
869,88005,49.155 sq mi
870,30265,0.676 sq mi
871,22408,0.902 sq mi
872,47201,204.428 sq mi
873,35010,217.595 sq mi
874,30005,14.486 sq mi
875,84111,1.434 sq mi
876,90058,5.808 sq mi
877,75001,3.835 sq mi
878,92128,0.008 sq mi
879,78363,2.385 sq mi
880,44139,0.191 sq mi
881,78758,9.284 sq mi
882,98118,2.641 sq mi
883,33331,12.458 sq mi
884,93703,4.728 sq mi
885,77702,1.238 sq mi
886,71109,1.26 sq mi
887,40292,0 sq mi
888,90045,0 sq mi
889,10006,0 sq mi
890,37321,112.946 sq mi
891,37403,1.712 sq mi
892,30720,48.474 sq mi
893,30115,60.777 sq mi
894,60657,0.782 sq mi
895,30721,124.24 sq mi
896,28207,2.518 sq mi
897,28262,21.712 sq mi
898,20814,5.083 sq mi
899,82001,58.955 sq mi
900,60026,4.074 sq mi
901,30606,0.42 sq mi
902,85750,0.064 sq mi
903,30635,283.943 sq mi
904,62901,0.917 sq mi
905,90822,0 sq mi
906,30666,36.707 sq mi
907,31719,94.103 sq mi
908,37916,1.49 sq mi
909,32348,318.569 sq mi
910,30339,0.386 sq mi
911,30012,42.834 sq mi
912,28741,86.933 sq mi
913,60559,4.887 sq mi
914,60674,0 sq mi
915,60137,10.815 sq mi
916,90033,0.029 sq mi
917,29118,77.947 sq mi
918,15224,0 sq mi
919,17033,0.156 sq mi
920,31015,217.574 sq mi
921,60527,0.362 sq mi
922,60613,0.43 sq mi
923,97330,77.104 sq mi
924,85034,11.424 sq mi
925,92103,3.768 sq mi
926,94107,1.792 sq mi
927,94404,4.26 sq mi
928,11030,6.674 sq mi
929,94117,1.688 sq mi
930,30022,25.436 sq mi
931,37040,92.408 sq mi
932,28203,3.318 sq mi
933,76177,14.446 sq mi
934,31546,169.881 sq mi
935,37206,7.724 sq mi
936,30144,0.21 sq mi
937,72370,113.149 sq mi
938,30080,13.622 sq mi
939,80443,3.87 sq mi
940,77014,7.156 sq mi
941,88011,146.404 sq mi
942,29461,162.75 sq mi
943,33805,3.323 sq mi
944,32542,1.69 sq mi
945,33323,6.598 sq mi
946,65201,0.309 sq mi
947,93003,0.099 sq mi
948,76707,3.265 sq mi
949,60190,4.645 sq mi
950,30307,0.005 sq mi
951,45409,3.463 sq mi
952,17101,0.585 sq mi
953,10019,0 sq mi
954,32504,10.699 sq mi
955,60005,6.556 sq mi
956,34109,12.536 sq mi
957,38104,0 sq mi
958,33322,5.712 sq mi
959,38120,0.018 sq mi
960,80220,5.242 sq mi
961,18901,20.153 sq mi
962,31210,41.329 sq mi
963,42003,69.606 sq mi
964,37347,48.585 sq mi
965,95816,2.047 sq mi
966,12524,16.217 sq mi
967,39157,30.617 sq mi
968,67502,78.511 sq mi
969,76104,5.86 sq mi
970,75149,15.883 sq mi
971,66604,6.617 sq mi
972,92692,9.852 sq mi
973,20853,9.01 sq mi
974,60010,2.646 sq mi
975,60030,1.282 sq mi
976,70503,11.856 sq mi
977,16121,2.27 sq mi
978,15905,35.843 sq mi
979,33701,2.667 sq mi
980,64132,10.192 sq mi
981,99577,214.724 sq mi
982,20735,25.934 sq mi
983,68130,7.631 sq mi
984,78234,4.547 sq mi
985,11787,0.663 sq mi
986,11717,0 sq mi
987,89102,5.357 sq mi
988,60631,0 sq mi
989,39501,0.517 sq mi
990,33027,13.423 sq mi
991,18840,0.79 sq mi
992,28083,20.044 sq mi
993,21202,1.587 sq mi
994,75052,26.157 sq mi
995,49935,474.819 sq mi
996,95991,1.087 sq mi
997,32751,7.027 sq mi
998,62301,0.54 sq mi
999,36502,1.788 sq mi
1000,22407,1.351 sq mi
1001,88001,0 sq mi
1002,88310,0.492 sq mi
1003,18015,21.237 sq mi
1004,43528,18.597 sq mi
1005,45431,0.007 sq mi
