,0
1451,32159
1452,53211
1453,84107
1454,48166
1455,92134
1456,44120
1457,44233
1458,32117
1459,15601
1460,84132
1461,32804
1462,10025
1463,21218
1464,19611
1465,11432
1466,35235
1467,33071
1468,85260
1469,28025
1470,75230
1471,19096
1472,89119
1473,95695
1474,94535
1475,85012
1476,95361
1477,33173
1478,13815
1479,34747
1480,17701
1481,32561
1482,33409
1483,80138
1484,93277
1485,85259
1486,44053
1487,55987
1488,80205
1489,27030
1490,51503
1491,55441
1492,64063
1493,65203
1494,33705
1495,77084
1496,70815
1497,64116
1498,75033
1499,46237
1500,97225
1501,97015
1502,92120
1503,73505
1504,92127
1505,18711
1506,95128
1507,11794
1508,92663
1509,68154
1510,78723
1511,94066
1512,32955
1513,98030
1514,10595
1515,44145
1516,45406
1517,43017
1518,65109
1519,94611
1520,19047
1521,19140
1522,16550
1523,15801
1524,45439
1525,18101
1526,39532
1527,93405
1528,78411
1529,75701
1530,80525
1531,62864
1532,75075
1533,44125
1534,24740
1535,92886
1536,62226
1537,11727
1538,75182
1539,33872
1540,73701
1541,11004
1542,33952
1543,85351
1544,68601
1545,20874
1546,14626
1547,85053
1548,85724
1549,34110
1550,78230
1551,50309
1552,19713
1553,21239
1554,46250
1555,61401
1556,62526
1557,44256
1558,85381
1559,41501
1560,53024
1561,90089
1562,53715
1563,72712
1564,62966
1565,53548
1566,17331
1567,16502
1568,10940
1569,28043
1570,27614
1571,32503
1572,44087
1573,28659
1574,50401
1575,60048
1576,77584
1577,98166
1578,40506
1579,91204
1580,98372
1581,92335
1582,98373
1583,63123
1584,46204
1585,31401
1586,61103
1587,65301
1588,12309
1589,95065
1590,11204
1591,10314
1592,93455
1593,35601
1594,95405
1595,10023
1596,32216
1597,77429
1598,77018
1599,75019
1600,15222
1601,77090
1602,77025
1603,91405
1604,77091
1605,77008
1606,97201
1607,87532
1608,61938
1609,85234
1610,65305
1611,78232
1612,23665
1613,29414
1614,45433
1615,34741
1616,20110
1617,94118
1618,32304
1619,31207
1620,92701
1621,96859
1622,37204
1623,22401
1624,92307
1625,26501
1626,23693
1627,79938
1628,94720
1629,31061
1630,89052
1631,61554
1632,98826
1633,29801
1634,31405
1635,95926
1636,31794
1637,13501
1638,44883
1639,28211
1640,28202
1641,23834
1642,60610
1643,26847
1644,75063
1645,31064
1646,90245
1647,60135
1648,60510
1649,89147
1650,31792
1651,99220
1652,63103
1653,77375
1654,46845
1655,32246
1656,49735
1657,54401
1658,54449
1659,33301
1660,34746
1661,93035
1662,60660
1663,87508
1664,70506
1665,62801
1666,49224
1667,30736
1668,91910
1669,30019
1670,68510
1671,86042
1672,30067
1673,60115
1674,54806
1675,39828
1676,30096
1677,85033
1678,45066
1679,30417
1680,52722
1681,31548
1682,63701
1683,64184
1684,60016
1685,34994
1686,30601
1687,92155
1688,52655
1689,30263
1690,70458
1691,60942
1692,48840
1693,34232
1694,67208
1695,91357
1696,30677
1697,49091
1698,60014
1699,30032
1700,98686
1701,88045
1702,30533
1703,70508
1704,60462
1705,32223
1706,30701
1707,31023
1708,89148
1709,90262
1710,28466
1711,76226
1712,47591
1713,77802
1714,22911
1715,31098
1716,26508
1717,49426
1718,31326
1719,60073
1720,60712
1721,31329
1722,11413
1723,60515
1724,61611
1725,31549
1726,32401
1727,82414
1728,93117
1729,30110
1730,17257
1731,78750
1732,33647
1733,30044
1734,60565
1735,30071
1736,93065
1737,23249
1738,13601
1739,33786
1740,31905
1741,12180
1742,20762
1743,80919
1744,54984
1745,33442
1746,32209
1747,47905
1748,32446
1749,29526
1750,94110
1751,37882
1752,31701
1753,33312
1754,78753
1755,33549
1756,33618
1757,27027
1758,30512
1759,10011
1760,36535
1761,36561
1762,66061
1763,66062
1764,25701
1765,91355
1766,19806
1767,85023
1768,44143
1769,85635
1770,98225
1771,10706
1772,29150
1773,76063
1774,14222
1775,76092
1776,60177
1777,15301
1778,85713
1779,90703
1780,91767
1781,91942
1782,81601
1783,34683
1784,32901
1785,32771
1786,22601
1787,66209
1788,66204
1789,11212
1790,28401
1791,96797
1792,74728
1793,89501
1794,10996
1795,94592
1796,92057
1797,33458
1798,93402
1799,28906
1800,94574
1801,60629
1802,95819
1803,28078
1804,55425
1805,97205
1806,52001
1807,53222
1808,71203
1809,71201
1810,70065
1811,71301
1812,37209
1813,84088
1814,46041
1815,19007
1816,32606
1817,94111
1818,80538
1819,92843
1820,80016
1821,75601
1822,57702
1823,85714
1824,55415
1825,82072
1826,90265
1827,10960
1828,83201
1829,28779
1830,46176
1831,80121
1832,17011
1833,59922
1834,80027
1835,46545
1836,55127
1837,55103
1838,46203
1839,97479
1840,10456
1841,72223
1842,11554
1843,10577
1844,10504
1845,92173
1846,85027
1847,26452
1848,58501
1849,47906
1850,27713
1851,75204
1852,78665
1853,33063
1854,89015
1855,19111
1856,74104
1857,74108
1858,35211
1859,66027
1860,35213
1861,33180
1862,85743
1863,89503
1864,53151
1865,85018
1866,37236
1867,95204
1868,34986
1869,85711
1870,85716
1871,43205
1872,37090
1873,68124
1874,68131
1875,28791
1876,33908
1877,11423
1878,17104
1879,94705
1880,33021
1881,20190
1882,90027
1883,11235
1884,34613
1885,34108
1886,19129
1887,19010
1888,19106
1889,11501
1890,78415
1891,72202
1892,94609
1893,63117
1894,74115
1895,53005
1896,44302
1897,53209
1898,66205
1899,66213
1900,85282
1901,77032
1902,83616
1903,33351
1904,92028
1905,83001
1906,10002
1907,55414
1908,55902
1909,55109
1910,56001
1911,55904
1912,55912
1913,78727
1914,78705
1915,92093
1916,80206
1917,41017
1918,41005
1919,78251
1920,33309
1921,70433
1922,19001
1923,84321
1924,84790
1925,84770
1926,98902
1927,43016
1928,97103
1929,92651
1930,85710
1931,54913
1932,98362
1933,99223
1934,78240
1935,53901
1936,20422
1937,91505
1938,46312
1939,33073
1940,92270
1941,41230
1942,92656
1943,92130
1944,64157
1945,59808
1946,23435
1947,92069
1948,10022
1949,76504
1950,44512
1951,30752
1952,84074
1953,13326
1954,95355
1955,90067
1956,90813
1957,95966
1958,95521
1959,96001
1960,95864
1961,95112
1962,94108
1963,82716
1964,21229
1965,97210
1966,90503
1967,90241
1968,35243
1969,93105
1970,92122
1971,10461
1972,93701
1973,94545
1974,10007
1975,12801
1976,11702
1977,11790
1978,13031
1979,33430
1980,13323
1981,76111
1982,77803
1983,77050
1984,78224
1985,78550
1986,34471
1987,76302
1988,17901
1989,19606
1990,15237
1991,27607
1992,60623
1993,32114
1994,33542
1995,33830
1996,34950
1997,24273
1998,32809
1999,32746
2000,32712
2001,34748
2002,10017
2003,62225
2004,85086
2005,33134
2006,33316
2007,32211
2008,47630
2009,43222
2010,44132
2011,45801
2012,82301
2013,98506
2014,27401
2015,40831
2016,81506
2017,18301
2018,34285
2019,56751
